League,Year,Team,Code,Position,Avg_Salary_GBP,Avg_Salary_USD
epl,2016,Stoke,STK,12,1899857,2507811
epl,2016,Sunderland,SUN,13,1872000,2471040
epl,2016,West Brom,WBA,14,1841583,2430890
epl,2016,Watford,WAT,15,1553552,2050689
epl,2016,Swansea,SWA,16,1412320,1864262
epl,2016,Middlesbrough,MID,17,1229704,1623209
epl,2016,Hull,HUL,18,1228000,1620960
epl,2016,Bournemouth,BOU,19,1109333,1464320
epl,2016,Burnley,BUR,20,954417,1259830
nhl,2016,Los Angeles Kings,LA,1,2588710,3421957
nhl,2016,Washington Capitals,WSH,2,2566168,3392159
nhl,2016,Pittsburgh Penguins,PIT,3,2551224,3372404
nhl,2016,Montreal Canadiens,MTL,4,2504882,3311146
nhl,2016,San Jose Sharks,SJ,5,2490866,3292619
nhl,2016,Chicago Blackhawks,CHI,6,2462329,3254896
nhl,2016,New York Rangers,NYR,7,2451224,3240217
nhl,2016,Minnesota Wild,MIN,8,2371052,3134239
nhl,2016,St Louis Blues,STL,9,2355394,3113542
nhl,2016,Calgary Flames,CGY,10,2331371,3081786
nhl,2016,Detroit Red Wings,DET,11,2328129,3077500
nhl,2016,Nashville Predators,NSH,12,2326753,3075682
nhl,2016,Boston Bruins,BOS,13,2313163,3057717
nhl,2016,Tampa Bay Lightning,TB,14,2287751,3024125
nhl,2016,Philadelphia Flyers,PHI,15,2283041,3017900
nhl,2016,Buffalo Sabres,BUF,16,2262922,2991304
nhl,2016,New York Islanders,NYI,17,2260044,2987500
nhl,2016,Anaheim Ducks,ANA,18,2259616,2986935
nhl,2016,Vancouver Canucks,VAN,19,2251081,2975652
nhl,2016,Ottawa Senators,OTT,20,2224274,2940217
nhl,2016,Colorado Avalanche,COL,21,2173211,2872717
nhl,2016,Columbus Blue Jackets,CBJ,22,2136290,2823913
nhl,2016,Dallas Stars,DAL,23,2002943,2647644
nhl,2016,Florida Panthers,FLA,24,1978058,2614750
nhl,2016,Edmonton Oilers,EDM,25,1970028,2604135
nhl,2016,Winnipeg Jets,WPG,26,1920001,2538005
nhl,2016,Toronto Maple Leafs,TOR,27,1817870,2403000
nhl,2016,Arizona Coyotes,ARI,28,1718709,2271922
nhl,2016,New Jersey Devils,NJ,29,1653866,2186207
nhl,2016,Carolina Hurricanes,CAR,30,1647042,2177188
nfl,2016,Green Bay Packers,GB,1,2164013,2860559
nfl,2016,Oakland Raiders,OAK,2,2156596,2850755
nfl,2016,Arizona Cardinals,ARI,3,2135685,2823112
nfl,2016,Cincinnati Bengals,CIN,4,2094349,2768472
nfl,2016,Jacksonville Jaguars,JAX,5,2059118,2721901
nfl,2016,Dallas Cowboys,DAL,6,2000160,2643965
nfl,2016,Tampa Bay Bucs,TB,7,1995541,2637860
nfl,2016,Houston Texans,HOU,8,1973197,2608324
nfl,2016,Seattle Seahawks,SEA,9,1948097,2575145
nfl,2016,New York Giants,NYG,10,1923730,2542935
nfl,2016,Minnesota Vikings,MIN,11,1923447,2542560
nfl,2016,Indianapolis Colts,IND,12,1921367,2539811
nfl,2016,New York Jets,NYJ,13,1911096,2526234
nfl,2016,Miami Dolphins,MIA,14,1901163,2513104
nfl,2016,Pittsburgh Steelers,PIT,15,1884677,2491312
nfl,2016,Tennessee Titans,TEN,16,1879894,2484989
nfl,2016,Washington Redskins,WSH,17,1873331,2476313
nfl,2016,Los Angeles Rams,LAR,18,1862675,2462227
nfl,2016,Denver Broncos,DEN,19,1847123,2441670
nfl,2016,Baltimore Ravens,BAL,20,1825924,2413648
nfl,2016,Atlanta Falcons,ATL,21,1810649,2393455
nfl,2016,Philadelphia Eagles,PHI,22,1807190,2388883
nfl,2016,Detroit Lions,DET,23,1772519,2343053
nfl,2016,Carolina Panthers,CAR,24,1772386,2342877
nfl,2016,San Diego Chargers,SD,25,1766279,2334804
nfl,2016,Kansas City Chiefs,KC,26,1734860,2293271
nfl,2016,Chicago Bears,CHI,27,1710233,2260718
nfl,2016,San Francisco 49ers,SF,28,1655807,2188774
nfl,2016,Buffalo Bills,BUF,29,1614862,2134649
nfl,2016,New England Patriots,NE,30,1567500,2072042
nfl,2016,New Orleans Saints,NO,31,1395460,1844627
nfl,2016,Cleveland Browns,CLE,32,1193317,1577418
spn,2016,Barcelona,BAR,1,5649091,7456800
spn,2016,Real Madrid,RMA,2,5051875,6668475
spn,2016,Atletico Madrid,ATM,3,2583391,3410077
spn,2016,Valencia,VAL,4,1757167,2319460
spn,2016,Sevilla,SEV,5,1615250,2132130
spn,2016,Villarreal,VIL,6,1360840,1796309
spn,2016,Athletic Bilbao,ATH,7,1285336,1696644
spn,2016,Real Sociedad,RSO,8,1015362,1340278
spn,2016,Espanyol,ESP,9,761327,1004952
spn,2016,Deportivo La Coruna,DEP,10,646609,853523
spn,2016,Celta Vigo,CEL,11,578448,763551
spn,2016,Malaga,MCF,12,516048,681183
spn,2016,Granada,GRA,13,499200,658944
spn,2016,Real Betis,BET,14,420130,554572
spn,2016,Eibar,EIB,15,389322,513905
spn,2016,Osasuna,OSA,16,383460,506167
spn,2016,Sporting Gijon,RSG,17,352192,464893
spn,2016,Deportivo Alaves,ALA,18,298963,394631
spn,2016,Las Palmas,LPA,19,273481,360996
spn,2016,Leganes,LEG,20,272350,359502
itl,2016,Juventus,JUV,1,3977569,5250392
itl,2016,Roma,ROMA,2,2956159,3902130
itl,2016,Internazionale,INT,3,2474609,3266484
itl,2016,Napoli,NAP,4,1938642,2559007
itl,2016,Milan,MIL,5,1867452,2465037
itl,2016,Lazio,LAZ,6,1214056,1602553
itl,2016,Fiorentina,FIO,7,1140347,1505258
itl,2016,Genoa,GEN,8,777292,1026025
itl,2016,Torino,TOR,9,753691,994873
itl,2016,Bologna,BOL,10,723391,954876
itl,2016,Sampdoria,SAM,11,700676,924892
itl,2016,Sassuolo,SAS,12,678272,895319
itl,2016,Cagliari,CAG,13,575139,759183
itl,2016,Atalanta,ATA,14,544310,718490
itl,2016,Udinese,UDI,15,529356,698749
itl,2016,Chievo,CVO,16,413154,545363
itl,2016,Empoli,EMP,17,393180,518997
itl,2016,Palermo,PAL,18,371278,490087
itl,2016,Pescara,PES,19,357436,471815
itl,2016,Crotone,CRO,20,310092,409321
ger,2016,Bayern Munich,MUN,1,4165600,5498592
ger,2016,Borussia Dortmund,DOR,2,2008603,2651357
ger,2016,Schalke,S04,3,1768125,2333925
ger,2016,Wolfsburg,WOB,4,1707584,2254011
ger,2016,Bayer Leverkusen,B04,5,1410513,1861877
ger,2016,Borussia Monchengladbach,BMG,6,975093,1287123
ger,2016,Hamburg,HSV,7,889700,1174404
ger,2016,Hoffenheim,TSG,8,813411,1073702
ger,2016,Hertha Berlin,BSC,9,787341,1039290
ger,2016,RB Leipzig,RBL,10,758542,1001275
ger,2016,Werder Bremen,SVW,11,617894,815620
ger,2016,FC Koln,KOE,12,616625,813945
ger,2016,Eintracht Frankfurt,SGE,13,601607,794121
ger,2016,Mainz,M05,14,504573,666037
ger,2016,Augsburg,FCA,15,453050,598026
ger,2016,Freiburg,SCF,16,332113,438390
ger,2016,FC Ingolstadt 04,ING,17,330208,435874
ger,2016,SV Darmstadt 98,SVD,18,299300,395076
fra,2016,PSG,PSG,1,4476835,5909422
fra,2016,Monaco,MON,2,1510215,1993484
fra,2016,Lyon,LYON,3,1353793,1787007
fra,2016,Marseille,OLM,4,1185427,1564763
fra,2016,Bordeaux,BOR,5,738029,974198
fra,2016,Saint-Etienne,ASSE,6,611416,807069
fra,2016,Lille,LILL,7,592531,782141
fra,2016,Nice,NICE,8,533073,703656
fra,2016,Toulouse,TOU,9,414648,547335
fra,2016,Montpellier,MONT,10,409283,540254
fra,2016,Rennes,REN,11,384129,507050
fra,2016,Bastia,BAS,12,369100,487212
fra,2016,Caen,CAN,13,362236,478151
fra,2016,Lorient,LOR,14,362207,478113
fra,2016,Dijon,DIJO,15,335593,442982
fra,2016,Metz,METZ,16,328343,433413
fra,2016,Angers,ANG,17,327600,432432
fra,2016,Guingamp,EAG,18,293650,387618
fra,2016,Nantes,NAN,19,291460,384727
fra,2016,Nancy,ASNL,20,208385,275068
mls,2016,New York City FC,NYC,1,620150,819762
mls,2016,Toronto FC,TOR,2,603233,797400
mls,2016,LA Galaxy,LA,3,489678,647294
mls,2016,Seattle Sounders,SEA,4,313829,414844
mls,2016,Orlando City,ORL,5,296378,391776
mls,2016,Colorado Rapids,COL,6,242718,320844
mls,2016,Portland Timbers,POR,7,186004,245874
mls,2016,Montreal Impact,MTL,8,181625,240087
mls,2016,San Jose Earthquakes,SJ,9,180597,238728
mls,2016,New England Revolution,NE,10,171038,226091
mls,2016,Sporting Kansas City,SKC,11,169979,224691
mls,2016,Vancouver Whitecaps,VAN,12,168671,222962
mls,2016,Philadelphia Union,PHI,13,167022,220783
mls,2016,New York Red Bulls,NY,14,164792,217835
mls,2016,Real Salt Lake,RSL,15,162947,215396
mls,2016,Columbus Crew,CLB,16,158705,209788
mls,2016,DC United,DC,17,147912,195521
mls,2016,Houston Dynamo,HOU,18,137904,182292
mls,2016,Chicago Fire,CHI,19,125227,165535
mls,2016,FC Dallas,DAL,20,119601,158098
nba,2013,Brooklyn Nets,BKN,1,3645285,6249418
nba,2013,NY Knicks,NY,2,3431128,5882270
nba,2013,LA Clippers,LAC,3,3111928,5335038
nba,2013,Sacramento Kings,SAC,4,2960046,5074654
nba,2013,Denver Nuggets,DEN,5,2939555,5039525
nba,2013,Toronto Raptors,TOR,6,2935584,5032717
nba,2013,Memphis Grizzlies,MEM,7,2919687,5005464
nba,2013,Cleveland Cavaliers,CLE,8,2885115,4946195
nba,2013,Golden State Warriors,GS,9,2852397,4890102
nba,2013,Washington Wizards,WSH,10,2839564,4868102
nba,2013,Miami Heat,MIA,11,2819067,4832962
nba,2013,Chicago Bulls,CHI,12,2817858,4830889
nba,2013,LA Lakers,LAL,13,2800747,4801555
nba,2013,Boston Celtics,BOS,14,2789520,4782308
nba,2013,Indiana Pacers,IND,15,2776628,4760206
nba,2013,Oklahoma City Thunder,OKC,16,2772343,4752859
nba,2013,New Orleans Pelicans,NO,17,2708034,4642609
nba,2013,Portland Trail Blazers,POR,18,2686595,4605855
nba,2013,Dallas Mavericks,DAL,19,2681306,4596787
nba,2013,San Antonio Spurs,SA,20,2654819,4551379
nba,2013,Minnesota Timberwolves,MIN,21,2563391,4394635
nba,2013,Houston Rockets,HOU,22,2547551,4367479
nba,2013,Charlotte Hornets,CHA,23,2508043,4299748
nba,2013,Utah Jazz,UTAH,24,2398654,4112213
nba,2013,Detroit Pistons,DET,25,2318537,3974863
nba,2013,Atlanta Hawks,ATL,26,2295793,3935870
nba,2013,Phoenix Suns,PHX,27,2258342,3871665
nba,2013,Milwaukee Bucks,MIL,28,2168397,3717464
nba,2013,Orlando Magic,ORL,29,1606475,2754114
nba,2013,Philadelphia 76ers,PHI,30,1286661,2205831
mlb,2013,Los Angeles Dodgers,LAD,1,4679937,8023207
mlb,2013,New York Yankees,NYY,2,4263577,7309407
mlb,2013,Detroit Tigers,DET,3,3620913,6207634
mlb,2013,San Francisco Giants,SF,4,3597130,6166861
mlb,2013,Washington Nationals,WAS,5,3317177,5686914
mlb,2013,Boston Red Sox,BOS,6,3312564,5679006
mlb,2013,Philadelphia Phillies,PHI,7,2829578,4850982
mlb,2013,Toronto Blue Jays,TOR,8,2748388,4711792
mlb,2013,Cincinnati Reds,CIN,9,2734442,4687883
mlb,2013,LA Angels,LAA,10,2515408,4312374
mlb,2013,Texas Rangers,TEX,11,2512448,4307299
mlb,2013,Seattle Mariners,SEA,12,2495650,4278502
mlb,2013,Minnesota Twins,MIN,13,2444139,4190192
mlb,2013,St Louis Cardinals,STL,14,2431143,4167912
mlb,2013,Chicago White Sox,CHW,15,2400669,4115667
mlb,2013,Kansas City Royals,KC,16,2366920,4057809
mlb,2013,Chicago Cubs,CHC,17,2103537,3606269
mlb,2013,Baltimore Orioles,BAL,18,2072523,3553100
mlb,2013,Colorado Rockies,COL,19,2051730,3517453
mlb,2013,Milwaukee Brewers,MIL,20,2041599,3500085
mlb,2013,Atlanta Braves,ATL,21,2032771,3484949
mlb,2013,New York Mets,NYM,22,1908129,3271266
mlb,2013,Cleveland Indians,CLE,23,1793464,3074685
mlb,2013,San Diego Padres,SD,24,1779523,3050785
mlb,2013,Pittsburgh Pirates,PIT,25,1661060,2847694
mlb,2013,Arizona Diamondbacks,ARI,26,1617665,2773298
mlb,2013,Oakland Athletics,OAK,27,1521647,2608687
mlb,2013,Miami Marlins,MIA,28,1479400,2536259
mlb,2013,Houston Astros,HOU,29,1378729,2363670
mlb,2013,Tampa Bay Rays,TB,30,1344448,2304900
epl,2013,Man City,MNC,1,5015122,8597844
epl,2013,Man Utd,MAN,2,4679377,8022247
epl,2013,Chelsea,CHE,3,4353057,7462809
epl,2013,Arsenal,ARS,4,4054066,6950225
epl,2013,Liverpool,LIV,5,3509286,6016263
epl,2013,Tottenham,TOT,6,2811978,4820808
epl,2013,Aston Villa,AVL,7,1810386,3103695
epl,2013,Newcastle,NEW,8,1675607,2872633
epl,2013,Everton,EVE,9,1635264,2803469
epl,2013,Sunderland,SUN,10,1616063,2770552
epl,2013,Swansea,SWA,11,1612787,2764936
epl,2013,Fulham,FUL,12,1547588,2653159
epl,2013,West Brom,WBA,13,1526667,2617293
epl,2013,West Ham,WHU,14,1424498,2442135
epl,2013,Southampton,SOU,15,1408249,2414279
epl,2013,Cardiff,CAR,16,1349029,2312754
epl,2013,Stoke,STK,17,1348796,2312353
epl,2013,Norwich,NOR,18,1159844,1988418
epl,2013,Hull City,HUL,19,1051192,1802146
epl,2013,Crystal Palace,CRY,20,998632,1712038
nhl,2013,New York Rangers,NYR,1,1946903,3337739
nhl,2013,Pittsburgh Pengiuns,PIT,2,1944112,3332955
nhl,2013,Chicago Blackhawks,CHI,3,1917345,3287065
nhl,2013,LA Kings,LA,4,1807319,3098438
nhl,2013,Toronto Maple Leafs,TOR,5,1765345,3026479
nhl,2013,Philadelphia Flyers,PHI,6,1640099,2811759
nhl,2013,Tampa Bay Lightning,TB,7,1619052,2775677
nhl,2013,Detroit Red Wings,DET,8,1618489,2774712
nhl,2013,Edmonton Oilers,EDM,9,1596900,2737700
nhl,2013,St Louis Blues,STL,10,1574152,2698700
nhl,2013,Minnesota Wild,MIN,11,1573930,2698320
nhl,2013,Washington Capitals,WSH,12,1573398,2697407
nhl,2013,Winnipeg Jets,WPG,13,1549549,2656522
nhl,2013,Nashville Predators,NSH,14,1545806,2650104
nhl,2013,Vancouver Canucks,VAN,15,1538570,2637700
nhl,2013,Boston Bruins,BOS,16,1537500,2635865
nhl,2013,Buffalo Sabres,BUF,17,1509915,2588573
nhl,2013,San Jose Sharks,SJ,18,1503456,2577500
nhl,2013,Florida Panthers,FLA,19,1486974,2549244
nhl,2013,Carolina Hurricanes,CAR,20,1476099,2530600
nhl,2013,Colorado Avalanche,COL,21,1452417,2490000
nhl,2013,Montreal Canadiens,MTL,22,1439526,2467900
nhl,2013,Dallas Stars,DAL,23,1414446,2424904
nhl,2013,New Jersey Devils,NJ,24,1379187,2364457
nhl,2013,Ottawa Senators,OTT,25,1343291,2302917
nhl,2013,Arizona Coyotes,ARI,26,1339949,2297188
nhl,2013,New York Islanders,NYI,27,1301512,2231292
nhl,2013,Anaheim Ducks,ANA,28,1228877,2106767
nhl,2013,Columbus Blue Jackets,CBJ,29,1227595,2104569
nhl,2013,Calgary Flames,CGY,30,1187217,2035345
ger,2013,Bayern Munich,MUN,1,4468643,7660968
ger,2013,Schalke,S04,2,2489672,4268254
ger,2013,Borussia Dortmund,DOR,3,2344823,4019926
ger,2013,Wolfsburg,WOB,4,1595944,2736060
ger,2013,Bayer Leverkusen,B04,5,1532106,2626618
ger,2013,Hamburg,HSV,6,1308674,2243569
ger,2013,Stuttgart,VFB,7,1276755,2188848
ger,2013,Werder Bremen,SVW,8,1117161,1915242
ger,2013,Borussia Monchengladbach,BMG,9,1101201,1887881
ger,2013,Hannover 96,H96,10,1053323,1805800
ger,2013,Hoffenheim,TSG,11,989485,1696357
ger,2013,Eintracht Frankfurt,SGE,12,957566,1641636
ger,2013,Nuremberg,FCN,14,766053,1313309
ger,2013,Mainz,M05,13,766053,1313309
ger,2013,Hertha Berlin,BSC,15,734134,1258588
ger,2013,Augsburg,FCA,16,542621,930260
ger,2013,Freiburg,SCF,17,513894,881011
ger,2013,Eintracht Braunschweig,EBS,18,478783,820818
nfl,2013,Miami Dolphins,MIA,1,1368255,2345714
nfl,2013,Detroit Lions,DET,2,1358913,2329699
nfl,2013,Cincinnati Bengals,CIN,3,1356995,2326410
nfl,2013,Green Bay Packers,GB,4,1356249,2325131
nfl,2013,Denver Broncos,DEN,5,1345569,2306822
nfl,2013,Tampa Bay Bucs,TB,6,1345228,2306236
nfl,2013,Minnesota Vikings,MIN,7,1317905,2259394
nfl,2013,Buffalo Bills,BUF,8,1306183,2239299
nfl,2013,Pittsburgh Steelers,PIT,9,1302980,2233807
nfl,2013,Philadelphia Eagles,PHI,10,1284677,2202430
nfl,2013,Cleveland Browns,CLE,11,1280676,2195571
nfl,2013,Seattle Seahawks,SEA,12,1279878,2194201
nfl,2013,Chicago Bears,CHI,13,1276934,2189154
nfl,2013,New Orleans Saints,NO,14,1256952,2154897
nfl,2013,Tennessee Titans,TEN,15,1256182,2153578
nfl,2013,San Diego Chargers,SD,16,1246346,2136715
nfl,2013,Washington Redskins,WSH,17,1220919,2093124
nfl,2013,Carolina Panthers,CAR,18,1220193,2091879
nfl,2013,New England Patriots,NE,19,1212444,2078594
nfl,2013,New York Giants,NYG,20,1208472,2071784
nfl,2013,Baltimore Ravens,BAL,21,1194715,2048200
nfl,2013,Atlanta Falcons,ATL,22,1190767,2041431
nfl,2013,Houston Texans,HOU,23,1188760,2037991
nfl,2013,San Francisco 49ers,SF,24,1187977,2036648
nfl,2013,Oakland Raiders,OAK,25,1168070,2002521
nfl,2013,Jacksonville Jaguars,JAX,26,1147947,1968022
nfl,2013,Arizona Cardinals,ARI,27,1139909,1954241
nfl,2013,Indianapolis Colts,IND,28,1118499,1917536
nfl,2013,St Louis Rams,STL,29,1109206,1901604
nfl,2013,Kansas City Chiefs,KC,30,1097412,1881386
nfl,2013,Dallas Cowboys,DAL,31,1045441,1792288
nfl,2013,New York Jets,NYJ,32,1011208,1733599
spn,2013,Real Madrid,RMA,1,5040520,8641385
spn,2013,Barcelona,BAR,2,4715116,8083518
spn,2013,Atletico Madrid,ATM,3,1747511,2995904
spn,2013,Sevilla,SEV,4,1460777,2504332
spn,2013,Valencia,VAL,5,1264849,2168437
spn,2013,Athletic Bilbao,ATH,6,949877,1628454
spn,2013,Malaga,MCF,7,727750,1247643
spn,2013,Getafe,GET,8,682027,1169255
spn,2013,Villarreal,VIL,9,644825,1105478
spn,2013,Real Sociedad,RSO,10,618262,1059938
spn,2013,Espanyol,ESP,11,569064,975593
spn,2013,Real Betis,BET,12,555752,952772
spn,2013,Osasuna,OSA,13,430892,738714
spn,2013,Granada,GRA,14,424521,727792
spn,2013,Levante,LEV,15,355228,608998
spn,2013,Celta Vigo,CEL,16,322413,552739
spn,2013,Elche,ELC,17,308028,528078
spn,2013,Almeria,ALM,18,297612,510220
spn,2013,Valladolid,VLL,19,288068,493859
spn,2013,Rayo Vallecano,RAY,20,264971,454263
itl,2013,Juventus,JUV,1,2859195,4901757
itl,2013,Milan,MIL,2,2382854,4085126
itl,2013,Roma,ROMA,3,2240920,3841797
itl,2013,Internazionale,INT,4,2078432,3563230
itl,2013,Napoli,NAP,5,1836998,3149319
itl,2013,Lazio,LAZ,6,1248964,2141203
itl,2013,Fiorentina,FIO,7,1216219,2085066
itl,2013,Genoa,GEN,8,758664,1300642
itl,2013,Torino,TOR,9,666972,1143445
itl,2013,Parma,PAR,10,599790,1028270
itl,2013,Bologna,BOL,11,573026,982387
itl,2013,Sampdoria,SAM,12,570687,978377
itl,2013,Atalanta,ATA,13,521017,893222
itl,2013,Verona,VER,14,482061,826437
itl,2013,Catania,CAT,15,474793,813978
itl,2013,Udinese,UDI,16,457208,783831
itl,2013,Sassuolo,SAS,17,438457,751684
itl,2013,Cagliari,CAG,18,363362,622942
itl,2013,Chievo,CVO,19,356446,611085
itl,2013,Livorno,LVO,20,303968,521118
fra,2013,Paris Saint-Germain,PSG,1,5298693,9083993
fra,2013,Monaco,MON,2,1894316,3247584
fra,2013,Lyon,LYON,3,1675741,2872863
fra,2013,Marseille,OLM,4,1556045,2667659
fra,2013,Lille,LILL,5,1149080,1969963
fra,2013,Bordeaux,BOR,6,718175,1231227
fra,2013,Saint-Etienne,ASSE,7,646357,1108104
fra,2013,Nice,NICE,8,478783,820818
fra,2013,Rennes,REN,9,454844,779777
fra,2013,Montpellier,MONT,10,406966,697695
fra,2013,Toulouse,TOU,11,359087,615614
fra,2013,Nantes,NAN,12,353103,605353
fra,2013,Sochaux,SOC,13,341133,584833
fra,2013,Valenciennes,VAFC,14,337542,578677
fra,2013,Reims,REIM,15,335148,574573
fra,2013,Bastia,BAS,16,311209,533532
fra,2013,Ajaccio,ACA,17,291340,499468
fra,2013,Lorient,LOR,18,275300,471970
fra,2013,Evian,EVN,19,268119,459658
fra,2013,Guingamp,EAG,20,263331,451450
mls,2013,LA Galaxy,LA,2,332000,569176
mls,2013,New York City,NYC,3,312482,535714
mls,2013,Orlando City,ORL,4,291650,500000
mls,2013,New York Red Bulls,NY,5,280704,481234
mls,2013,Seattle Sounders,SEA,6,280528,480932
mls,2013,New England Revolution,NE,7,184067,315562
mls,2013,Portland Timbers,POR,8,133029,228063
mls,2013,Chicago Fire,CHI,9,123012,210890
mls,2013,Houston Dynamo,HOU,10,113664,194864
mls,2013,FC Dallas,DAL,11,112952,193643
mls,2013,Vancouver Whitecaps,VAN,12,111843,191741
mls,2013,Sporting Kansas City,SKC,13,106892,183254
mls,2013,San Jose Earthquakes,SJ,14,104310,178827
mls,2013,Columbus Crew,CLB,15,99053,169816
mls,2013,Philadelphia Union,PHI,16,98056,168105
mls,2013,DC United,DC,17,96990,166278
mls,2013,Montreal Impact,MTL,18,95391,163536
mls,2013,Real Salt Lake,RSL,19,95056,162963
mls,2013,Colorado Rapids,COL,20,81602,139897
